time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.73200981255e-07,-9.67537861701e-08,10.0042254292,6.28298316716,0.00025014774517,0.0,-2.37966307288e-05,-1.30288607988e-05,0.14083991826,-0.0111419732509,0.0114208701151,0.0,450.53501949832105,451.4572449105466,448.7946250962155,447.889594536032
0.12000000000000001,-1.06282074261e-05,-8.20433785848e-06,10.017400248,6.28227484741,0.00132787523292,0.0,-0.000421496830841,-0.00033326189186,0.298291935833,-0.0131661704502,0.0285880295366,0.0,453.8991886880099,455.27451701924355,455.0911663245486,454.9292695358645
0.18,-6.76300399302e-05,-4.83611665409e-05,10.0368424605,6.28163564209,0.00317646862307,0.0,-0.00164782686283,-0.00107264292069,0.34976662083,-0.00604996343454,0.0349188370563,0.0,420.7335422685388,421.28158789930814,421.34082068761353,421.95561033867995
0.23999999999999996,-0.000244408540392,-0.000147907238094,10.0620091799,6.28140028182,0.0053451493923,0.0,-0.0044746111653,-0.00227740725894,0.489073147069,2.46382703707e-05,0.0384895683828,0.0,449.21534144440426,449.50532238663567,449.0946823244453,449.58712617190247
0.3,-0.000640781734261,-0.000323365217918,10.0958419956,6.28193469682,0.00770976416916,0.0,-0.00899301496357,-0.00353717651842,0.63861367631,0.0224726084802,0.0411903529835,0.0,452.7420048946076,452.9599693451297,451.49078833708234,453.29794601326546
0.36000000000000004,-0.00137577092009,-0.000559353413732,10.1404265232,0.000270941067019,0.009800879165,0.0,-0.0157805261267,-0.00415883474309,0.84740335911,0.0305834467961,0.017502101747,0.0,471.60580486001396,469.77324306572496,470.2154370765022,470.8433332466633
0.4200000000000001,-0.00254286987735,-0.000795412877708,10.1956526385,0.00212115001403,0.010799560835,0.0,-0.0232331551394,-0.00350939984514,0.993349990747,0.0313387090232,0.0148723459947,0.0,452.2289666444979,452.017029554576,451.8464969829988,451.9076773833678
0.48000000000000015,-0.00422555021963,-0.000941108569255,10.2639126361,0.00374436284905,0.0117922540535,0.0,-0.0329758342249,-0.00111797568058,1.28170342857,0.0166983959926,0.019695927036,0.0,494.29406586995793,494.64925017204007,494.2143662089829,493.134323133937
0.5400000000000001,-0.00644798646094,-0.000928573391891,10.3434021588,0.00432605032434,0.0135320061984,0.0,-0.0412547555828,0.00162070124853,1.36784559209,-0.0104587219972,0.0430487369589,0.0,432.6918130198225,434.65341157186384,435.75659013872263,433.48064038973365
0.6000000000000002,-0.00926591281806,-0.000728307066262,10.4322718205,0.00327946009244,0.0160548254144,0.0,-0.0529803322714,0.00495996151334,1.59418444034,-0.0375077941555,0.039964801878,0.0,477.40278359240205,477.16826041811186,478.028189208299,475.96274796546203
0.6600000000000003,-0.0128181362647,-0.000365954895134,10.5328985276,0.000683543196487,0.0183062470882,0.0,-0.0656834504903,0.00685115051219,1.7597948608,-0.0584205889598,0.0321313685804,0.0,460.39502013161257,459.77547756969557,460.21333723161587,458.5541049995742
0.7200000000000003,-0.017229916005,4.58850816505e-05,10.646039659,6.28012431764,0.0203674269116,0.0,-0.0816168522216,0.00642784670403,2.01116338698,-0.0718941052646,0.0384614645352,0.0,484.8100616718262,485.2857914428558,486.44241473877054,485.4299790933787
0.7800000000000004,-0.02271519321,0.000322289908702,10.7773338559,6.2755685653,0.0222942489962,0.0,-0.101513938619,0.00217187130994,2.36463871845,-0.085547631565,0.0147261321257,0.0,515.9409709051706,514.2627867502381,514.877433363018,513.9068601516565
0.8400000000000004,-0.0292541536185,0.000281817808392,10.9214777098,6.27028299153,0.0236085381462,0.0,-0.116558980321,-0.00403134915086,2.43999052692,-0.0937387442348,0.0333657213229,0.0,433.7164702452406,435.279135798803,434.8983340095801,434.2050452397184
0.9000000000000005,-0.0367022508054,-0.000222879106329,11.0691400365,6.26547631092,0.0261173433225,0.0,-0.131923228537,-0.0132696615908,2.48198340433,-0.0615205936071,0.0548562385122,0.0,423.3803792637418,425.22629905716815,422.45047602420567,425.2133869188137
0.9600000000000005,-0.0452278689554,-0.00143877955173,11.2232163394,6.26176113594,0.0294295236933,0.0,-0.152625673568,-0.0276698697722,2.6534913924,-0.0627293706258,0.0558874082982,0.0,464.1800222085385,464.2628417175265,465.64469985350627,465.54756685645253
1.0200000000000005,-0.0549468489872,-0.00351120958145,11.3834333975,6.25863924544,0.0327711122682,0.0,-0.171646715672,-0.0417210246365,2.68698008457,-0.0364136365251,0.0553019144071,0.0,422.4530604909744,422.40484746497555,421.2324533957244,423.49987704213993
1.0800000000000005,-0.0660136604732,-0.00658801235392,11.5499772505,6.25648861774,0.0359062729512,0.0,-0.197599857916,-0.0610736682273,2.86403300351,-0.0347280399012,0.0453275884777,0.0,467.2303809679024,466.45372833950364,468.3063660357284,468.4369590555058
1.1400000000000006,-0.078524221014,-0.0107388933911,11.7221160884,6.25425269967,0.0384467551791,0.0,-0.219652296704,-0.0774789620972,2.87388588392,-0.0428942075011,0.0355788067983,0.0,416.27350182621893,415.4206292081596,416.009496695209,415.2930480088324
1.2000000000000006,-0.092465660575,-0.015963556655,11.8964794324,6.25198236935,0.0408259536032,0.0,-0.245275892822,-0.0969039552787,2.93804259453,-0.0292758702917,0.0467587785474,0.0,433.6206879573867,434.5596893514418,432.71923774256646,433.86336614756715
